date,Buy & Hold,CSP (Delta -0.3),Wheel (Delta 0.3),SmartWheel(W180)
2019-01-01,100000.0,100000.0,100000.0,100000.0
2019-01-02,99999.99581903064,94467.9665375966,94467.9665375966,94467.9665375966
2019-01-03,101898.32433648268,93142.20426221596,93142.20426221596,93142.20426221596
2019-01-04,98355.312797191,96019.06302653263,96019.06302653263,96019.06302653263
2019-01-05,99417.03827762284,99961.29022459104,99961.29022459104,99961.29022459104
2019-01-06,104484.74121964285,99707.64638485944,99707.64638485944,99707.64638485944
2019-01-07,103957.06969862798,94018.68807234426,94018.68807234426,94018.68807234426
2019-01-08,104085.52096147137,98213.46680451909,98213.46680451909,98213.46680451909
2019-01-09,103367.16175970016,95963.84865732673,95963.84865732673,95963.84865732673
2019-01-10,93170.1830213137,92061.47931125273,92061.47931125273,92061.47931125273
2019-01-11,94221.04653189368,97755.88238683269,97755.88238683269,97755.88238683269
2019-01-12,93633.6018676665,94387.63171592608,94387.63171592608,94387.63171592608
2019-01-13,91219.73922671133,89495.08815254927,89495.08815254927,89495.08815254927
2019-01-14,94260.70862494681,94265.82677724355,94265.82677724355,94265.82677724355
2019-01-15,92159.7214023415,96991.76316091524,96991.76316091524,96991.76316091524
2019-01-16,92622.43799971127,97831.98181683054,97831.98181683054,97831.98181683054
2019-01-17,94149.45969811839,98305.72643406093,98305.72643406093,98305.72643406093
2019-01-18,92429.02455243548,92295.78755930063,92295.78755930063,92295.78755930063
2019-01-19,94494.77713072648,96639.3360970243,96639.3360970243,96639.3360970243
2019-01-20,90502.21842939334,96975.80886252521,96975.80886252521,96975.80886252521
2019-01-21,90870.08103124856,99008.3737973648,99008.3737973648,99008.3737973648
2019-01-22,92316.63846974344,95830.58347552302,95830.58347552302,95830.58347552302
2019-01-23,92029.35772595782,95949.63547459287,95949.63547459287,95949.63547459287
2019-01-24,91636.08460668879,92522.91202531177,92522.91202531177,92522.91202531177
2019-01-25,91361.68108777229,92947.25143613198,92947.25143613198,92947.25143613198
2019-01-26,92385.0549673215,96183.29468251804,96183.29468251804,96183.29468251804
2019-01-27,91037.61091586927,93708.87061872518,93708.87061872518,93708.87061872518
2019-01-28,88589.80417528501,95991.26674609259,95991.26674609259,95991.26674609259
2019-01-29,87841.04786191486,92026.64671579513,92026.64671579513,92026.64671579513
2019-01-30,89549.42785332802,94061.43967004491,94061.43967004491,94061.43967004491
2019-01-31,87669.89866223584,100643.63083635844,100643.63083635844,100643.63083635844
2019-02-01,89196.42560354907,101312.85313087543,104302.7777602233,104302.7777602233
2019-02-02,89819.95813555669,101408.39213915888,101060.37608489596,101060.37608489596
2019-02-03,88582.15362692825,104692.6634985268,101309.75389250737,101309.75389250737
2019-02-04,87378.15817442215,102231.30785804313,99346.08879485742,99346.08879485742
2019-02-05,87981.265277857,102813.16037462704,101732.92924025767,101732.92924025767
2019-02-06,87060.82195460162,104445.14818246212,102936.62626340825,102936.62626340825
2019-02-07,86880.95004266893,105413.23785609085,101018.92202250691,101018.92202250691
2019-02-08,93500.04145219746,102275.1497993695,102267.52242088581,102267.52242088581
2019-02-09,93146.59931334175,105305.44581515277,109470.26408214583,109470.26408214583
2019-02-10,95277.52622133605,106026.90392698071,110200.67675711306,110200.67675711306
2019-02-11,92118.69085504423,106617.79394634074,107338.87909411611,107338.87909411611
2019-02-12,92185.39912833797,106659.27094140284,106531.42507788657,106531.42507788657
2019-02-13,92115.33770410217,105800.9513254945,107620.97402552221,107620.97402552221
2019-02-14,91598.84774290402,105869.81941978719,108409.22003705602,108409.22003705602
2019-02-15,92484.98089763385,106410.23843995912,108103.40723294529,108103.40723294529
2019-02-16,92027.90959221114,106735.3441810376,104398.06319079104,104398.06319079104
2019-02-17,94301.32689671447,106587.77781293321,107058.79009067485,107058.79009067485
2019-02-18,100500.26133519302,106727.3952285592,112476.06699995165,112476.06699995165
2019-02-19,100825.34323823743,106804.3066031267,113003.6606511182,113003.6606511182
2019-02-20,102079.71391186267,106804.37794896873,113233.28143064905,113233.28143064905
2019-02-21,101511.93301320571,106959.57073669675,110155.50250188312,110155.50250188312
2019-02-22,102760.37848137974,106960.40292793777,112723.79963200026,112723.79963200026
2019-02-23,106909.83339431939,107019.21871413851,113936.16221599643,113936.16221599643
2019-02-24,96704.91911715132,106498.73021540997,105573.82243709033,105573.82243709033
2019-02-25,98611.39794453034,102965.33158770819,110000.40467343644,110000.40467343644
2019-02-26,97771.81286208777,104261.99658324671,104208.5556243354,104208.5556243354
2019-02-27,98552.52796720238,106697.36511827951,106693.62621201006,106693.62621201006
2019-02-28,98859.25021038196,105541.92374045211,111880.036790566,111880.036790566
2019-03-01,99809.6507160218,106712.09469746875,111626.57168252015,111626.57168252015
2019-03-02,97781.22321069462,107019.29642077837,116484.51307919023,116484.51307919023
2019-03-03,97464.62591574606,107359.14175498464,117531.61892523486,117531.61892523486
2019-03-04,95053.93999963095,106309.55292758424,115204.04171676839,115204.04171676839
2019-03-05,99881.33366151853,109049.26025612568,122414.86281787325,122414.86281787325
2019-03-06,99073.81279683163,109146.1671522715,120106.74050714147,120106.74050714147
2019-03-07,98876.04852368767,111866.15231528514,117325.11452254519,117325.11452254519
2019-03-08,98499.85416134806,111831.57743655979,120611.40333517721,120611.40333517721
2019-03-09,100636.9872552527,111516.4978136834,118841.60923424698,118841.60923424698
2019-03-10,101462.64052092885,112593.63706435829,124097.77093212181,124097.77093212181
2019-03-11,99901.74217288081,111642.73760609132,122008.44685458137,122008.44685458137
2019-03-12,100218.32995367033,112300.14408260846,122307.50459905047,122307.50459905047
2019-03-13,100332.95858820909,109585.83257539064,123132.97631368545,123132.97631368545
2019-03-14,99463.2876576751,109490.05768699788,118336.57095309264,118336.57095309264
2019-03-15,101131.31626488952,111614.3408962369,119575.99076956318,119575.99076956318
2019-03-16,103644.8482780914,110277.96072178871,125535.33989845718,125535.33989845718
2019-03-17,102866.4254462099,112182.81096146334,122382.423044143,122382.423044143
2019-03-18,102831.99869581839,112250.02042005635,124749.84100223813,124749.84100223813
2019-03-19,103828.5335503887,112503.94185501247,126567.34589244891,126567.34589244891
2019-03-20,104806.49809533439,111912.29699853242,122694.76467098869,122694.76467098869
2019-03-21,102632.87929055195,112177.43646839313,122145.49574544001,122145.49574544001
2019-03-22,103012.08747058582,109482.32956018619,124140.93160685277,124140.93160685277
2019-03-23,102123.77911308387,109426.32388532397,121853.20630234244,121853.20630234244
2019-03-24,101953.28823673986,110582.59160200313,124836.20964797049,124836.20964797049
2019-03-25,100806.11668369394,111901.41336444647,122202.74609756979,122202.74609756979
2019-03-26,100496.88651500919,112035.9828709175,122736.1780952236,122736.1780952236
2019-03-27,103264.63224130498,112370.6356552794,125411.08577829736,125411.08577829736
2019-03-28,103886.49295075545,112648.36005959011,126184.77313388814,126184.77313388814
2019-03-29,105014.67566043405,112146.97108419683,123365.82631545501,123365.82631545501
2019-03-30,105581.76732392766,112676.02300126628,128396.14419929679,128396.14419929679
2019-03-31,105861.24239490123,113001.45772190706,125678.55284009106,125678.55284009106
2019-04-01,106858.54601174562,113182.3960420526,130937.70959398287,130937.70959398287
2019-04-02,125833.39719322603,117776.63339270849,142618.39633723968,151974.59730704513
2019-04-03,127446.364735148,118338.89042198138,134646.3694224983,152904.79435232418
2019-04-04,125846.17368021507,117712.56587672983,142499.98129584908,151816.10213809556
2019-04-05,129778.49243666335,117914.80649096651,135282.57737865762,156421.12184067545
2019-04-06,129905.69358226284,118059.90277581937,137722.05398712275,150323.11454972794
2019-04-07,133653.84697296558,118234.2211766804,142990.98038913764,159542.6867285879
2019-04-08,135671.98802165716,118382.42633430258,137139.22705440328,158759.76328268947
2019-04-09,133173.14957920127,118329.62470847434,142551.6275643822,157146.73179167244
2019-04-10,136204.02498331718,118488.64767384737,144648.20209301473,159285.15696527855
2019-04-11,129222.69178059653,113386.79409322185,136404.04122397455,150928.6565981601
2019-04-12,130936.33278908092,118387.66437028529,138270.4077994154,159115.60458036172
2019-04-13,130040.98680146971,118473.90058170984,141954.29838054688,152737.6757466604
2019-04-14,132136.384930305,118597.53281582899,140757.3167125812,156739.4542632513
2019-04-15,129138.60302948949,118404.50054913676,135297.883665544,156699.16485012733
2019-04-16,133379.52571810214,118679.0814722587,143362.63952864226,159734.84740240435
2019-04-17,134047.527118792,118723.61268273684,145418.0051902822,155542.11160447204
2019-04-18,134997.0862201496,118749.65451889906,139783.45615922177,156646.45537846538
2019-04-19,135357.19849625576,118762.35523129244,138398.91740546317,161350.01385553557
2019-04-20,135956.6816205469,118772.88269494587,140565.9133763719,162194.38822019493
2019-04-21,135725.5520036539,118777.14736089947,138708.9725007966,160084.51082531147
2019-04-22,137075.8173583792,118781.19120923222,146123.6028703581,163980.99525620637
2019-04-23,141768.61142334383,118783.73074646371,144857.20378022286,166673.43937219965
2019-04-24,139855.68433991703,118783.76942185617,145431.07275358232,160354.76250550247
2019-04-25,132723.76309400462,118782.93958601257,137356.80284963368,155068.44333614
2019-04-26,135830.84073578537,118783.77374837257,145017.42473011545,159908.21944230763
2019-04-27,136443.614600552,118783.82243524372,145523.32606558,158017.65590586647
2019-04-28,135353.68951731236,118783.825875012,143400.69970465996,159504.83638542236
2019-04-29,135480.13791333695,118783.82598928765,138522.65874584456,159831.87557728574
2019-04-30,135580.33279240312,118783.82598933153,140373.2933246837,157297.61109981057
2019-05-01,136614.541697181,118783.82598933153,146789.13150730758,157440.48869571034
2019-05-02,140577.38880268444,120776.88501564278,149252.08806791969,173129.70280477277
2019-05-03,148464.32843648826,119434.35812335525,147593.03764667976,172292.8858070349
2019-05-04,151609.71246249165,122930.60889012538,151913.58894490145,181656.04702982688
2019-05-05,150426.69281285405,120919.34092320924,149428.13037650505,175068.67205215545
2019-05-06,150596.94673666448,122921.88131150657,151902.803691312,172687.285643354
2019-05-07,149033.9606859549,119315.42327240514,147446.06188351073,182501.5956971265
2019-05-08,153928.04289705824,119881.52332059995,148145.62963803165,180405.96244478412
2019-05-09,159871.52857376524,123416.39710077825,152513.90998140877,176883.62595706037
2019-05-10,163219.87794418813,122805.23002268554,151758.64987884948,184236.25642573021
2019-05-11,184847.03751673605,123631.91287015006,152780.23725575552,183837.40763966145
2019-05-12,178806.3154286209,123531.46720458881,152656.1098176249,191242.24163514172
2019-05-13,199866.73344146088,123749.63286860443,152925.71174430844,197509.45960691292
2019-05-14,204496.0685730625,123806.54459565601,152996.04137813614,193614.92889189848
2019-05-15,209311.0066954352,123833.54687641378,153029.4099054431,194066.93186495855
2019-05-16,201164.88799893955,123811.55992593491,153002.2391577558,198432.13530693125
2019-05-17,189051.81525401887,123741.77384866039,152915.99982686114,191130.26590386033
2019-05-18,184718.5543256169,123729.62328381874,152900.98455987868,190292.23785790557
2019-05-19,209840.49371132828,123839.10297004538,153036.27594256526,194167.25440426014
2019-05-20,205084.95498787338,123840.30804936794,153037.76513981653,194103.28718733575
2019-05-21,203693.65749839932,123851.79239205962,153051.9571114558,194332.12970576758
2019-05-22,195369.92265363588,123849.4534185998,153049.0666852557,190353.46634557203
2019-05-23,201709.95264414063,123861.55653576387,153064.0233179643,198585.54431551928
2019-05-24,204815.61987102163,123863.34139281967,153066.2289854018,194949.86927838676
2019-05-25,206709.2850656281,123863.62205296895,153066.57581595064,195069.54625941833
2019-05-26,223840.89770583948,123863.65768168024,153066.61984473607,195158.65548070607
2019-05-27,224888.9172617453,123863.65800464104,153066.62024384036,195175.99264877473
2019-05-28,223129.2631070262,123863.65800694785,153066.62024669105,195187.7608291066
2019-05-29,222059.32802935573,123863.65800695185,153066.620246696,195198.83714647908
2019-05-30,211986.9274167207,123863.65800695185,153066.620246696,195209.53472145408
2019-05-31,218551.34144961057,123863.65800695184,153066.620246696,195220.47836642587
2019-06-01,218983.75726119633,130892.1861524963,161752.24334113818,195231.2608941416
2019-06-02,223826.12164912347,131617.6523979857,162648.7505821393,195264.2154816099
2019-06-03,207857.1824469543,124930.52799125141,154385.02295954188,182566.8834787703
2019-06-04,196968.8571590585,124179.0340443893,153456.3515442703,179386.8060049953
2019-06-05,199475.26754115487,125517.73017211631,155110.66803310683,190000.08051332663
2019-06-06,200027.87986914653,122944.00208704859,151930.13981559526,187308.84889235595
2019-06-07,205190.54837430513,130277.14508957046,160992.19589598916,193340.11153439688
2019-06-08,203037.92864231166,126753.64490940652,156637.9706721059,188724.28014955446
2019-06-09,195824.2290355663,122961.25711742457,151951.46301260398,187384.14947243012
2019-06-10,205289.41494655257,130720.02314842655,161539.4899832243,189442.3172225269
2019-06-11,202741.7642102339,122776.90641207955,151723.64849572873,182868.1985270095
2019-06-12,209410.3820432976,128147.39133287422,158360.31649939567,194606.24771664827
2019-06-13,210630.11032544877,130096.01463734053,160768.36086162392,192949.56754866094
2019-06-14,222501.79871266318,126841.76538783532,156746.86705079078,194513.4058400847
2019-06-15,226208.39575209504,133627.95727496687,165133.0189957824,189968.38269577466
2019-06-16,230499.3220134686,131951.82983898342,163061.71603366296,196347.78841418796
2019-06-17,239208.7175497102,131296.0289178806,162251.29890112323,196605.90075571835
2019-06-18,232861.93160381148,130452.43924966546,161208.81863317025,196514.49201257035
2019-06-19,237709.5831607083,131174.79712149364,162101.48464859772,196660.50891919286
2019-06-20,244308.3826288225,133915.6932617962,165488.59363111926,196752.1428071704
2019-06-21,262224.57439441216,135264.68260402288,167155.6301346905,196804.54582225071
2019-06-22,274079.7110507335,135293.52892850077,167191.27747036118,196811.55994938928
2019-06-23,278419.90499993216,135300.34189025697,167199.69670362677,196813.07145693531
2019-06-24,282549.8705023586,135302.51899701642,167202.38710030122,196813.47377433057
2019-06-25,301117.35275921045,135303.14353366286,167203.15888207505,196813.57194659387
2019-06-26,331058.49273592414,135303.16406379046,167203.1842525291,196813.57546208333
2019-06-27,285680.2697404205,135303.0395222481,167203.03034820172,196813.51480371357
2019-06-28,317152.49660264567,135303.16415992155,167203.18437132472,196813.5754809863
