date,price,sigma,r,regime_signal,portfolio_value,strategy,daily_pnl
2019-01-01,2.228430879316975,0.944283120646259,0.02,Normal,100000.0,CSP (Delta -0.3),0.0
2019-01-02,2.2284307861469626,0.944283120646259,0.02365000009536743,Normal,94467.9665375966,CSP (Delta -0.3),-5532.0334624034
2019-01-03,2.270733725020744,0.944283120646259,0.023550000190734863,Normal,93142.20426221596,CSP (Delta -0.3),-1325.7622753806354
2019-01-04,2.191780161821405,0.944283120646259,0.023580000400543213,Normal,96019.06302653263,CSP (Delta -0.3),2876.8587643166684
2019-01-05,2.2154399802809244,0.944283120646259,0.023580000400543213,Normal,99961.29022459104,CSP (Delta -0.3),3942.2271980584046
2019-01-06,2.328370237512953,0.944283120646259,0.023580000400543213,Normal,99707.64638485944,CSP (Delta -0.3),-253.6438397315942
2019-01-07,2.316611442397296,0.944283120646259,0.023529999256134033,Normal,94018.68807234426,CSP (Delta -0.3),-5688.958312515184
2019-01-08,2.319473890003371,0.944283120646259,0.024000000953674317,Normal,98213.46680451909,CSP (Delta -0.3),4194.778732174833
2019-01-09,2.3034657517266863,0.944283120646259,0.023900001049041747,Normal,95963.84865732673,CSP (Delta -0.3),-2249.618147192363
2019-01-10,2.076233128763096,0.944283120646259,0.02375,Normal,92061.47931125273,CSP (Delta -0.3),-3902.3693460740033
2019-01-11,2.0996508957323345,0.944283120646259,0.02369999885559082,Normal,97755.88238683269,CSP (Delta -0.3),5694.403075579961
2019-01-12,2.0865600974357963,0.9430322648467516,0.02369999885559082,Normal,94387.63171592608,CSP (Delta -0.3),-3368.2506709066074
2019-01-13,2.032768836960455,0.9281085420453622,0.02369999885559082,Normal,89495.08815254927,CSP (Delta -0.3),-4892.543563376807
2019-01-14,2.100534738061314,0.955809409283864,0.023599998950958254,Normal,94265.82677724355,CSP (Delta -0.3),4770.738624694277
2019-01-15,2.053715690022273,0.9557801694966596,0.023829998970031737,Normal,96991.76316091524,CSP (Delta -0.3),2725.936383671695
2019-01-16,2.064027009561786,0.8447385381891236,0.0236299991607666,Normal,97831.98181683054,CSP (Delta -0.3),840.2186559152906
2019-01-17,2.0980556326229607,0.8697157859420598,0.023550000190734863,Normal,98305.72643406093,CSP (Delta -0.3),473.74461723038985
2019-01-18,2.0597169245779408,0.8665949107600328,0.023480000495910643,Normal,92295.78755930063,CSP (Delta -0.3),-6009.938874760293
2019-01-19,2.105750792922864,0.902157113850008,0.023480000495910643,Normal,96639.3360970243,CSP (Delta -0.3),4343.548537723662
2019-01-20,2.0167793819474995,0.5662211160492513,0.023480000495910643,Normal,96975.80886252521,CSP (Delta -0.3),336.4727655009192
2019-01-21,2.0249769457607,0.5578713605006121,0.023480000495910643,Normal,99008.3737973648,CSP (Delta -0.3),2032.5649348395818
2019-01-22,2.057212478407177,0.7436083964537402,0.023450000286102293,Normal,95830.58347552302,CSP (Delta -0.3),-3177.7903218417778
2019-01-23,2.050810625602326,0.7433448785182171,0.023529999256134033,Normal,95949.63547459287,CSP (Delta -0.3),119.05199906985217
2019-01-24,2.042046805972482,0.7333876961792164,0.023050000667572023,Normal,92522.91202531177,CSP (Delta -0.3),-3426.7234492810967
2019-01-25,2.0359319132230147,0.7153442996157251,0.023280000686645506,Normal,92947.25143613198,CSP (Delta -0.3),424.33941082020465
2019-01-26,2.058737092765753,0.7155639608854832,0.023280000686645506,Normal,96183.29468251804,CSP (Delta -0.3),3236.0432463860634
2019-01-27,2.028710233441672,0.6583718670083905,0.023280000686645506,Normal,93708.87061872518,CSP (Delta -0.3),-2474.4240637928597
2019-01-28,1.97416255216849,0.6665953822363879,0.023329999446868897,Normal,95991.26674609259,CSP (Delta -0.3),2282.3961273674067
2019-01-29,1.9574770352705144,0.6649266563289357,0.02365000009536743,Normal,92026.64671579513,CSP (Delta -0.3),-3964.620030297461
2019-01-30,1.9955471025352376,0.679293461799651,0.02365000009536743,Normal,94061.43967004491,CSP (Delta -0.3),2034.7929542497877
2019-01-31,1.9536630936551629,0.6432912537117925,0.023399999141693117,Normal,100643.63083635844,CSP (Delta -0.3),6582.191166313525
2019-02-01,1.98768069139648,0.6496356415674956,0.023399999141693117,Normal,101312.85313087543,CSP (Delta -0.3),669.2222945169924
2019-02-02,2.001575682882325,0.6438636260872976,0.023399999141693117,Normal,101408.39213915888,CSP (Delta -0.3),95.53900828344922
2019-02-03,1.9739920649864708,0.6307686428678319,0.023399999141693117,Normal,104692.6634985268,CSP (Delta -0.3),3284.271359367922
2019-02-04,1.9471618585372528,0.6290163306302641,0.023350000381469727,Normal,102231.30785804313,CSP (Delta -0.3),-2461.355640483671
2019-02-05,1.9606016834655493,0.5851390635338207,0.02365000009536743,Normal,102813.16037462704,CSP (Delta -0.3),581.8525165839092
2019-02-06,1.940090240223515,0.5854814102934498,0.02365000009536743,Normal,104445.14818246212,CSP (Delta -0.3),1631.987807835074
2019-02-07,1.936081918994789,0.5848966477701208,0.023550000190734863,Normal,105413.23785609085,CSP (Delta -0.3),968.0896736287395
2019-02-08,2.08358379589494,0.6751839584756176,0.02365000009536743,Normal,102275.1497993695,CSP (Delta -0.3),-3138.0880567213608
2019-02-09,2.075707582132161,0.5109556121694111,0.02365000009536743,Normal,105305.44581515277,CSP (Delta -0.3),3030.2960157832713
2019-02-10,2.1231938153655805,0.5178800502482619,0.02365000009536743,Normal,106026.90392698071,CSP (Delta -0.3),721.4581118279457
2019-02-11,2.052801352636348,0.537213662080837,0.02375,Normal,106617.79394634074,CSP (Delta -0.3),590.8900193600275
2019-02-12,2.054287900397485,0.5253313676441999,0.02378000020980835,Normal,106659.27094140284,CSP (Delta -0.3),41.47699506209756
2019-02-13,2.052726629985325,0.5056201742368021,0.02372999906539917,Normal,105800.9513254945,CSP (Delta -0.3),-858.3196159083309
2019-02-14,2.0412170082014134,0.4970563125984795,0.02372999906539917,Normal,105869.81941978719,CSP (Delta -0.3),68.8680942926876
